gene_id	Heart_P3_1	Heart_P3_2	Heart_P3_3	Heart_P3_4	Heart_P63_1	Heart_P63_2	Heart_P63_3	Heart_P63_4
ENSMUSG00000002017	1515	1578	1441	1536	2043	1145	1287	1776
ENSMUSG00000002020	892	586	472	786	195	161	56	78
ENSMUSG00000002028	2777	2767	2279	3992	5037	2286	2200	2624
ENSMUSG00000002031	1012	905	866	1196	541	384	395	504
ENSMUSG00000002032	133	186	141	152	558	323	515	694
ENSMUSG00000002033	8	0	3	6	13	17	18	14
ENSMUSG00000002043	347	436	293	475	227	109	182	205
ENSMUSG00000002052	2537	2786	2316	3552	2564	1510	1705	2341
ENSMUSG00000002055	1118	962	1055	1152	20	50	9	25
ENSMUSG00000002057	0	0	0	1	0	0	0	0
ENSMUSG00000002058	331	349	309	447	140	82	128	161
ENSMUSG00000002059	536	630	498	660	298	196	205	344
ENSMUSG00000002064	714	913	707	1017	1043	575	813	1122
ENSMUSG00000002068	256	254	261	273	41	17	34	31
ENSMUSG00000002076	9	4	7	12	30	24	11	17
ENSMUSG00000002083	118	127	96	133	82	51	49	63
ENSMUSG00000002100	77076	98686	84286	104013	145036	84047	113052	161610
ENSMUSG00000002102	3989	4425	3972	4790	5206	2806	4142	5258
ENSMUSG00000002103	1169	1379	1115	1542	1476	787	890	1238
ENSMUSG00000002104	365	483	385	548	436	257	319	417
ENSMUSG00000002105	1203	1119	1064	1521	1032	537	618	833
ENSMUSG00000002107	2919	3654	3036	3924	3946	2672	2271	3414
ENSMUSG00000002108	68	70	52	77	367	196	358	344
ENSMUSG00000002109	302	343	290	343	267	129	170	266
ENSMUSG00000002111	60	55	28	74	103	72	73	81
ENSMUSG00000002129	1998	2253	1863	2463	1792	1110	1151	1666
ENSMUSG00000002147	1727	2128	1479	2300	2856	1471	1631	2276
ENSMUSG00000002190	0	2	1	3	5	2	5	2
ENSMUSG00000002204	116	75	25	19	57	55	12	129
ENSMUSG00000002205	645	791	706	934	773	414	499	799
ENSMUSG00000002210	323	315	309	433	319	125	215	265
ENSMUSG00000002221	922	1034	924	1179	710	397	526	729
ENSMUSG00000002222	3201	3834	3199	4078	6843	3917	4320	6083
ENSMUSG00000002227	643	719	579	885	344	224	251	273
ENSMUSG00000002228	1030	1227	1086	1187	803	491	469	712
ENSMUSG00000002233	2346	2702	2158	3191	1507	943	872	1403
ENSMUSG00000002240	0	0	0	1	0	0	0	0
ENSMUSG00000002249	1027	1142	919	1372	558	354	403	550
ENSMUSG00000002250	548	568	461	576	1161	577	765	842
ENSMUSG00000002257	55	57	60	89	73	62	67	69
ENSMUSG00000002265	10155	10068	8530	14393	2493	987	514	762
ENSMUSG00000002266	499	348	363	677	84	51	30	62
ENSMUSG00000002274	282	305	257	273	459	314	373	496
ENSMUSG00000002279	509	633	532	704	842	433	700	752
ENSMUSG00000002280	849	975	880	1132	1271	682	951	1305
ENSMUSG00000002289	1082	1369	996	1666	229	112	56	67
ENSMUSG00000002297	751	672	843	749	96	56	52	68
ENSMUSG00000002307	452	536	467	577	484	269	350	389
ENSMUSG00000002308	191	189	165	210	440	227	351	499
ENSMUSG00000002319	1300	1433	1155	1713	1363	810	988	1478
ENSMUSG00000002320	1146	1257	1074	1427	1080	613	655	1051
ENSMUSG00000002324	39	22	28	21	2	0	0	0
ENSMUSG00000002325	473	435	354	530	775	435	558	496
ENSMUSG00000002326	503	519	447	559	406	239	288	352
ENSMUSG00000002329	1589	1773	1751	1889	2071	1132	1820	2399
ENSMUSG00000002332	839	959	767	1131	1036	548	478	995
ENSMUSG00000002341	106	22	38	92	2	1	1	1
ENSMUSG00000002342	1874	2371	1931	2180	2305	1064	1683	2161
ENSMUSG00000002343	334	335	329	397	329	162	224	267
